epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.9133,1.3537,3.14067,1.07169,0.01491,0.88955,0.38416,0.2695,1.02555,3.10323,0.89969,0.00028339,0.00028339,0.00028339
2,166.883,1.25229,1.74492,0.99934,0.01379,0.84749,0.33091,0.25499,1.0287,3.06574,0.90855,0.000571898,0.000571898,0.000571898
3,247.124,1.18805,1.58597,1.00312,0.81604,0.08186,0.56062,0.42179,1.03025,2.9018,0.91013,0.000848523,0.000848523,0.000848523
4,327.226,1.18531,1.38329,0.99793,0.73511,0.25626,0.56345,0.37149,1.10741,2.67145,0.96009,0.00111327,0.00111327,0.00111327
5,407.89,1.18108,1.33336,0.98629,0.60769,0.55724,0.59467,0.40807,1.08843,2.33062,0.96965,0.00136613,0.00136613,0.00136613
6,490.699,1.14326,1.29619,0.97732,0.5276,0.69458,0.67611,0.49032,1.07521,2.258,0.97389,0.00150197,0.00150197,0.00150197
7,570.138,1.19909,1.23953,0.98098,0.59677,0.61852,0.6643,0.452,1.08949,2.34871,0.96033,0.00146896,0.00146896,0.00146896
8,648.654,1.13275,1.18455,0.9841,0.53078,0.64793,0.62763,0.43569,1.12136,2.05655,0.97292,0.00143595,0.00143595,0.00143595
9,731.408,1.13294,1.15371,0.97657,0.61388,0.60819,0.58136,0.40146,1.16329,1.87288,1.03097,0.00140295,0.00140295,0.00140295
10,816.987,1.10923,1.08493,0.982,0.51338,0.5898,0.56918,0.40074,1.1171,2.03167,1.01575,0.00136994,0.00136994,0.00136994
11,911.945,1.13509,1.10228,0.97845,0.70407,0.58363,0.64527,0.44234,1.08712,1.72087,1.00318,0.00133693,0.00133693,0.00133693
12,1004.71,1.06644,1.00742,0.96578,0.61997,0.74948,0.77486,0.57538,1.0866,1.54203,1.02514,0.00130393,0.00130393,0.00130393
13,1086.94,1.0756,1.01002,0.95185,0.62077,0.74047,0.66443,0.49469,1.01149,1.20595,0.98024,0.00127092,0.00127092,0.00127092
14,1169.6,1.06935,0.99065,0.97348,0.79954,0.73152,0.79591,0.60722,0.99466,1.06953,0.96191,0.00123791,0.00123791,0.00123791
