epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.2057,0.88977,3.29933,1.32629,0.00352,1,0.28519,0.2359,0.53468,3.75029,1.14911,0.00011669,0.00011669,0.00011669
2,94.9764,0.71774,2.27907,1.14312,0.00334,1,0.56763,0.4741,0.53481,3.3765,1.11218,0.000245099,0.000245099,0.000245099
3,128.144,0.70011,1.74095,1.14717,0.0034,1,0.53181,0.42299,0.66324,3.38774,1.16498,0.000368227,0.000368227,0.000368227
4,160.959,0.64066,1.62663,1.10562,0.76634,0.375,0.845,0.6809,0.72303,3.06089,1.28258,0.000486074,0.000486074,0.000486074
5,193.491,0.64876,1.39781,1.1016,0.73766,0.62661,0.81631,0.66618,0.6955,3.03896,1.26097,0.00059864,0.00059864,0.00059864
6,226.746,0.7076,1.38943,1.14331,0.7789,0.75,0.91643,0.73054,0.78919,2.84311,1.62488,0.000705924,0.000705924,0.000705924
7,259.428,0.70377,1.29625,1.13916,0.63778,0.625,0.59028,0.44194,0.76009,2.97681,1.48109,0.000807928,0.000807928,0.000807928
8,293.599,0.68228,1.23912,1.11092,0.86135,0.85803,0.90333,0.73566,0.72229,2.31238,1.29434,0.000904651,0.000904651,0.000904651
9,325.909,0.69279,1.22098,1.09751,0.91387,0.61117,0.85264,0.67783,0.78562,2.4592,1.46018,0.000996093,0.000996093,0.000996093
10,359.918,0.69422,1.22888,1.11517,0.83143,0.86327,0.90333,0.66841,0.8421,2.21588,1.47432,0.00108225,0.00108225,0.00108225
11,393.552,0.65167,1.17723,1.09047,0.98735,0.74983,0.85846,0.72287,0.70801,2.26162,1.33978,0.00116313,0.00116313,0.00116313
12,425.816,0.69384,1.1825,1.10888,0.71899,0.95033,0.8205,0.67366,0.69531,2.37249,1.33759,0.00123873,0.00123873,0.00123873
13,458.361,0.64566,1.10343,1.08179,0.64469,0.74508,0.79708,0.57393,0.74444,2.52062,1.47088,0.00127092,0.00127092,0.00127092
14,490.593,0.63559,1.07609,1.06892,0.6018,0.875,0.87556,0.69179,0.71386,3.35659,1.40366,0.00123791,0.00123791,0.00123791
15,523.401,0.63008,1.05533,1.05412,0.87353,0.82389,0.82312,0.65398,0.7967,2.14801,1.42571,0.00120491,0.00120491,0.00120491
16,555.659,0.68555,1.04154,1.09327,0.79674,1,0.995,0.88466,0.68388,1.6979,1.27803,0.0011719,0.0011719,0.0011719
17,587.636,0.63687,0.94227,1.05235,0.85205,0.98993,0.995,0.886,0.5651,1.62257,1.18532,0.00113889,0.00113889,0.00113889
18,618.947,0.62325,0.96075,1.07923,0.88436,0.79044,0.90056,0.75915,0.58653,1.70416,1.19891,0.00110589,0.00110589,0.00110589
19,651.74,0.59537,0.88029,1.04064,0.87233,0.875,0.95333,0.75374,0.64462,1.67382,1.39182,0.00107288,0.00107288,0.00107288
20,687.549,0.58306,0.87184,1.04161,0.76856,1,0.87893,0.72633,0.70105,1.61418,1.62305,0.00103987,0.00103987,0.00103987
21,719.406,0.54933,0.82733,0.99523,0.78149,0.875,0.8075,0.65686,0.68476,1.99505,1.46178,0.00100687,0.00100687,0.00100687
22,751.161,0.58315,0.80777,1.04048,0.8024,0.875,0.79525,0.65164,0.66438,1.75012,1.34513,0.000973861,0.000973861,0.000973861
23,786.628,0.56798,0.92366,1.03122,0.9746,0.99107,0.995,0.82703,0.65509,1.25097,1.31859,0.000940855,0.000940855,0.000940855
24,822.654,0.56364,0.84804,1.04513,0.96385,0.98985,0.995,0.87873,0.62192,1.18259,1.20086,0.000907848,0.000907848,0.000907848
25,858.407,0.54638,0.81981,1.01064,0.96387,0.92802,0.995,0.86532,0.57423,1.16758,1.13777,0.000874842,0.000874842,0.000874842
26,895.091,0.54863,0.78068,1.02963,0.95162,0.99575,0.995,0.90777,0.51714,1.06894,1.12533,0.000841835,0.000841835,0.000841835
27,928.384,0.53702,0.76535,0.997,0.98922,1,0.995,0.89529,0.58888,0.95973,1.15736,0.000808828,0.000808828,0.000808828
28,965.296,0.52962,0.70598,0.99236,0.98682,1,0.995,0.87348,0.54748,1.00739,1.16457,0.000775822,0.000775822,0.000775822
29,997.888,0.56658,0.75635,1.06095,0.96507,0.875,0.97,0.87756,0.49763,1.09364,1.15418,0.000742815,0.000742815,0.000742815
30,1028.99,0.57538,0.77845,1.05311,0.82408,1,0.97,0.88142,0.55092,1.35391,1.19939,0.000709809,0.000709809,0.000709809
31,1062.85,0.50752,0.72724,1.02763,0.973,1,0.995,0.81126,0.52441,1.20456,1.16576,0.000676802,0.000676802,0.000676802
32,1094.02,0.5618,0.71069,1.00932,0.97209,1,0.995,0.94505,0.40763,0.87746,1.11947,0.000643795,0.000643795,0.000643795
33,1125.52,0.52737,0.70858,1.01675,0.95897,1,0.995,0.90977,0.46355,0.95712,1.15786,0.000610789,0.000610789,0.000610789
34,1156.95,0.53476,0.71337,1.01467,0.95683,1,0.995,0.85181,0.5562,1.01298,1.23746,0.000577782,0.000577782,0.000577782
